Authors,Title,Year,Issue,Page start,Page end,Abstract,Affiliations,ISBN,DOI,Link,EID,Publisher,Cited by,Source title,Source
R. J. Haddad; Y. Kalaani,Can computational thinking predict academic performance?,2015,Null,225,229,"This paper introduces the notion of predicting academic performance based on Computational Thinking. The integral role that Computational Thinking modalities play in engineering disciplines can serve as an accurate indicator of the student future academic success. Therefore, this study investigated the students' performance in a Computational Thinking course offered at the freshman level to predict student academic success. To achieve this goal, a two-year study of the correlation between the students' accumulative grade point averages and their grades obtained in this course was conducted. The performance of nine hundred and eighty two students in forty sections was assessed over the two-year period. It was concluded that the students' future academic performance is strongly correlated to their Computational Thinking skills assessed at the freshman level. This clearly suggests the viability of using Computational Thinking skills as a fairly accurate predictor of students' academic success. These results have also implied that the assessment of Computational Thinking can be used as an early intervention tool to improve the students' retention, progression, and graduation rates in STEM related disciplines.",Georgia Southern University; Georgia Southern University,978-1-4799-1829-4,10.1109/ISECon.2015.7119929,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7119929,IEEE Conferences,IEEE,19,2015 IEEE Integrated STEM Education Conference,IEEE Xplore
R. Araújo; E. Anjos; D. R. Silva,Trends in the Use of Design Thinking for Embedded Systems,2015,Null,82,86,"The increasing complexity of embedded systems turned the requirements management in an even more dificulty task. In addition, there is a demand for innovative, customized and trendy systems. Design Thinking can minimize these problems throughout the development of Embedded Systems. The use of Design Thinking aims to understand the real users needs and generate innovative solutions for new systems. It can improve the requirement elicitation process and increase the quality of the final system. This paper approaches new trends in the use of design thinking during the whole development process of innovative embedded technologies.","Phoebus Technology, Joao pessoa, Paraiba, Brazil; DSC-Federal University of Paraiba, CISUC - University of Coimbra, Joao Pessoa, Paraiba, Brazil; DSC-Center for Informatics, Federal University of Paraiba, Joao Pessoa, Paraiba, Brazil",978-1-4673-7367-8,10.1109/ICCSA.2015.25,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7166170,IEEE Conferences,IEEE,6,2015 15th International Conference on Computational Science and Its Applications,IEEE Xplore
R. A. Fiorini,Deep learning and deep thinking: New application framework by CICT,2016,Null,117,128,"In a previous paper we showed and discussed how computational information conservation theory (CICT) can help us to develop even competitive advanced quantum cognitive computational systems. To achieve reliable system intelligence outstanding results, current computational system modeling and simulation community has to face and to solve two orders of modeling limitations at least. As a solution, we propose an exponential, prespatial arithmetic scheme (“all-powerful scheme”) by CICT to overcome the Information Double-Bind (IDB) problem and to thrive on both deterministic noise (DN) and random noise (RN) to develop powerful cognitive computational frameworks for deep learning, towards deep thinking applications. An operative example is presented. This paper is a relevant contribution towards an effective and convenient “Science 2.0” universal computational framework to develop deeper learning and deep thinking system and application at your fingertips and beyond.","Department of Electronics, Politecnico di Milano",978-1-5090-3846-6,10.1109/ICCI-CC.2016.7862024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862024,IEEE Conferences,IEEE,5,2016 IEEE 15th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),IEEE Xplore
R. Munoz; T. S. Barcelos; R. Villarroel; I. F. Silveira,Game design workshop to develop computational thinking skills in teenagers with Autism Spectrum Disorders,2016,Null,1,4,"Computational Thinking (CT) has been described as the use of abstraction, automation and analysis skills for problem solving, thus becoming a set of fundamental skills for the 21st century. Many initiatives have emerged to promote early development of CT skills. However, to date, there are no studies in which CT is developed in minority groups, such as individuals with Autism Spectrum Disorders. In this paper we present the design and evaluation of a Game Design Workshop aimed at teenagers with Autism Spectrum Disorders. An analysis of the artifacts produced by the participants of a pilot offering of the workshop was performed using a rubric for CT skills acquisition. The results showed that the participants, all of them with high-functioning autism and no previous experience with programming, acquired intermediate level skills related to CT.","Pontificia Universidad Católica, Valparaíso, Chile; Universidade Presbiteriana Mackenzie, Brasil; Pontificia Universidad Católica, Valparaíso, Chile; Universidade Presbiteriana Mackenzie, Brasil",978-9-8998-4346-2,10.1109/CISTI.2016.7521416,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7521416,IEEE Conferences,IEEE,5,2016 11th Iberian Conference on Information Systems and Technologies (CISTI),IEEE Xplore
R. Juan,Seizing the SPOC opportunity and promoting reform of university computer foundation teaching in independent colleges,2017,Null,551,556,"Faced with the new reality of reform of university computer foundation and teaching, independent colleges have proposed reforms upon university computer foundation teaching in the content, model, methods and management, which are centered around computational thinking, targeted at “enhance foundation, application-orientation, and stress computational thinking and promote students' creativity and innovation”. By constructing teaching contents which emphasize the application and practicality, and adopting SPOC integrated teaching model and emphasizing diversity of teaching methods, such reforms can not only spur students' initiative and enthusiasm in learning, but also improve their problem solving and innovation.","The Department of Computer science & Technology, Tianjin University Renai College, TianJin, China",978-1-5090-2508-4,10.1109/ICCSE.2017.8085552,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8085552,IEEE Conferences,IEEE,0,2017 12th International Conference on Computer Science and Education (ICCSE),IEEE Xplore
R. Vinayakumar; K. Soman; P. Menon,CT-Blocks: Learning Computational Thinking by Snapping Blocks,2018,Null,1,7,"Technologies are growing rapidly and its applications are enormous in different strata of society. In this paper especially we are talking about educational technologies. We could see there is a significant change in elementary and secondary education over the past 10 years like classroom teaching, information and communications technology (ICT), and now everything is all about the cloud computing. Cloud computing technologies play a big role in the development of educational technologies. CT-Blocks is a virtual private cloud system developed for K-12 schools. The importance of the word computational thinking makes everyone to the development of educational tools to impart computational thinking to primary, middle and high school students. CT-Blocks is a cloud and block based programming language that reinforces the word computational thinking in all types of users.","Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, India; Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, India; Lakhshya Cyber Security Labs Pvt Ltd, Coimbatore",978-1-5386-4430-0,10.1109/ICCCNT.2018.8493669,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493669,IEEE Conferences,IEEE,0,"2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",IEEE Xplore
R. Vinayakumar; K. P. Soman; P. Menon,Digital Storytelling Using Scratch: Engaging Children Towards Digital Storytelling,2018,Null,1,6,"Engaging youngsters with ancient approaches in education, especially reading, grows ever tougher in the face of their attachment to tablets and PC games. In this paper, we explore the digital storytelling more interesting and memorable for children. Digital storytelling is recognized as a motivating instructional approach that engages learners in 21st century learning skills which will be essential to success in the future. Digital storytelling is one of the latest pedagogical approaches that can engage learners in computational thinking. Educators are in search of recent technologies and education approaches to engage students in computational thinking. Digital storytelling using MIT Scratch have the potential to meet this demand.","Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Lakhshya Cyber Security Labs Pvt Ltd, Coimbatore, India",978-1-5386-4430-0,10.1109/ICCCNT.2018.8493941,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493941,IEEE Conferences,IEEE,1,"2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",IEEE Xplore
R. Vinayakumar; K. Soman; P. Menon,Map-Blocks: Playing with Online Data and Infuse to Think in a Computational Way,2018,Null,1,6,This paper introduces a new teaching tool for K-12 schools with the aid to transfigure the way young peoples use of online data. The tool involves participators who don't have prior programming knowledge and wish to learn computational concepts as part of playing with online data. Computational thinking provides a way for solving many real-world problems that are not learned easily by using many existing tools. Map-Blocks is a software suite that combines the easy to use visual programming environment with easy to get started block shaped programming environment.,"Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, India; Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, India; Lakhshya Cyber Security Labs Pvt Ltd, Coimbatore",978-1-5386-4430-0,10.1109/ICCCNT.2018.8493700,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493700,IEEE Conferences,IEEE,1,"2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",IEEE Xplore
R. Vinayakumar; K. Soman; P. Menon,Fractal Geometry: Enhancing Computational Thinking with MIT Scratch,2018,Null,1,6,"Recent developments in pedagogy have focused upon computational thinking. Computational thinking provides a way to solve the problem and it is a key practice of science education. The importance of computational thinking is rarely found in K-12 education. Computational thinking is a an important skill everyone needs and it is correlated with many other concepts. These factors have made the development of new tools and syllabus. In this paper, we aim to show the experiments of fractal geometry using MIT Scratch. These computational exercises facilitate to learn many of computational thinking skills that are very important for the people in the near future. Based on our experience with students, we claim that the concept of fractal and its implementation in MIT Scratch is the best practices to improve computational thinking in K-12 school level students.","Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Lakhshya Cyber Security Labs Pvt Ltd, Coimbatore",978-1-5386-4430-0,10.1109/ICCCNT.2018.8494172,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494172,IEEE Conferences,IEEE,1,"2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",IEEE Xplore
R. Vinayakumar; K. Soman; P. Menon,Alg-Design: Facilitates to Learn Algorithmic Thinking for Beginners,2018,Null,1,6,"Algorithmic thinking is one of the main key concepts in computational thinking. With using computers in close to all areas of our lives, the progress of algorithmic solutions to problems is very crucial. The comprehension of the character of problems and their algorithmic solutions is enormously most important for everyone. Algorithmic thinking is the capability to realize, execute, assessment, and create computational procedures for solving problems. This paper presents Alg-Design, a visual and block based programming environment to facilitate novices to improve the comprehension of Algorithmic thinking using programming and computing. The visual programming environment motivates students and they find enjoyable while creating personally meaningful projects.","Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, Coimbatore, India; Lakhshya Cyber Security Labs Pvt Ltd, Coimbatore",978-1-5386-4430-0,10.1109/ICCCNT.2018.8493952,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493952,IEEE Conferences,IEEE,2,"2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",IEEE Xplore
R. Sharma; B. Ribeiro; A. M. Pinto; F. A. Cardoso,Perceiving Abstract Concepts Via Evolving Computational Cognitive Modeling,2018,Null,1,8,"Any cognizable thing (object, or idea) can be recognized as a concept, and they are usually described by modality-specific, experience-dependent, or localist-distributed representations. There has been a significant effort in studying concrete concepts, along with their underlying cognitive and psychological processes through conceptual representations produced by computational approaches (like Artificial Neural Networks). However, the notion of abstract concepts, though debated, is seldom explored. In this article, we propose an approach to learn abstract representation of concepts with Regulated Activation Networks (RANs) evolving computational modeling. RANs methodology is illustrated using a toydata problem, and evaluated for metrics Precision, Recall, Fl-score, and Accuracy, along with ROC curve analysis. RANs comparison is presented using a benchmark data from human activity recognition domain, yielding Precision= 98.20% (ca.), Recall= 97.62% (ca.), Fl-score= 97.8 (ca.), and Accuracy= 97.62% (ca.). Sleep Detection data from SOCIALITE project is used to model active and inactive students, showing a convincing performance. Further, the model is used in studying 3 students in order to deduce biomarkers for understanding their psychological conditions.","Department of Informatics Engineering, University of Coimbra, Portugal; Department of Informatics Engineering, University of Coimbra, Portugal; Department of Informatics Engineering, University of Coimbra, Portugal; Department of Informatics Engineering, University of Coimbra, Portugal",978-1-5090-6014-6,10.1109/IJCNN.2018.8489505,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489505,IEEE Conferences,IEEE,0,2018 International Joint Conference on Neural Networks (IJCNN),IEEE Xplore
R. G. Patil; S. Z. Ali,Approaches For Automation In Assisting Evaluator For Grading Of Answer Scripts: A Survey,2018,Null,1,6,"Student who possess several qualities of intelligence and critical thinking skills are believed to think independently. To develop overall skills for a student, it is required that a student demonstrate his knowledge, skills, and abilities in a various ways i.e., through multiple choice questions, fill the gaps, problem solving, short and long answers. Assessment of short and long/essay answers is hectic and tedious tasks for several teachers. Learning Management Systems provide an opportunity to learn online. To develop critical thinking in an online environment, it is necessary to conduct exams and assessment online. Most online LMS tools support assessment through multiple choice questions, but these tools test only higher order thinking skills. Many researchers have tried to provide a system to automatically assess short and long/essay answers using several different approaches. The objective of survey is to highlight problems associated with the evaluator, discuss difficulties and limitations of online tools. In this literature, the methodologies used to develop various models of short answer grading given by several authors and their results are discussed. This paper highlights drawbacks/difficulties with automatic short answers grading. Authors tried to discuss the scope for researchers in this field of automated grading using machine learning algorithms. Authors recommend researchers to conduct an experiment in hybrid and feedback supported systems for grading answers.","Faculty, School of Computer Engineering and Technology MIT Academy of Engineering, Pune, Alandi(D.), INDIA; Professor, Computer Science Department, SECAB Institute of Engineering and Technology, VTU Belagavi, Vijayapur, INDIA",978-1-5386-6947-1,10.1109/CCAA.2018.8777664,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8777664,IEEE Conferences,IEEE,3,2018 4th International Conference on Computing Communication and Automation (ICCCA),IEEE Xplore
R. Motschnig; D. Pfeiffer; A. Gawin; P. Gawin; M. Steiner; L. Streli,Enhancing Stanford Design Thinking for Kids with Digital Technologies A Participatory Action Research Approach to Challenge-Based Learning,2018,Null,1,9,"Can digital competencies be acquired by solving real problems? The educational intervention MadeByKids called an external educational provider to 17 schools to conduct a series of workshops, having pupils age 7 - 12 solve challenges such as designing the schoolbag 4.0 or the future classroom. The workshops were designed by adopting the Stanford Design Thinking Method for Kids (http://www.ideaco.org) and digital technologies with the goal to “teach” children computational thinking, collaborating in teams, resolving conflicts, presenting, giving/receiving feedback, etc. In this paper, we take a participatory action research (PAR) approach with the goal of exposing significant chunks of the incredibly rich experience. A content analysis of a qualitative survey among teachers and findings from a focus group reflect the teachers' view. The study indicates that the acquisition of digital competences needs to be backed by personal and social capacities that take time to mature. Furthermore, we learned that the children's teachers must be included consistently to ensure their cooperation and improve sustainability. Besides providing inspiration for teachers, implications for teacher education are derived and the national project is related to the findings from studies conducted abroad in order to contribute to constructive educational innovations crossing national boundaries.","Faculty of Computer Science, CSLEARN Educational Technologies University of Vienna, Vienna, Austria; Faculty of Computer Science, CSLEARN Educational Technologies University of Vienna, Vienna, Austria; DaVinci Lab KG (Vienna), Vienna, Austria; DaVinci Lab KG (Vienna), Vienna, Austria; University College of Teacher Education (Vienna), Vienna, Austria; DaVinci Lab KG (Vienna), Vienna, Austria",978-1-5386-1174-6,10.1109/FIE.2018.8658859,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8658859,IEEE Conferences,IEEE,5,2018 IEEE Frontiers in Education Conference (FIE),IEEE Xplore
R. Burbaitė; V. Drąsutė; V. Štuikys,Integration of computational thinking skills in STEM-driven computer science education,2018,Null,1824,1832,"In the context of Computer Science (CS) education, one of the most important goals is the development of computational thinking (CT) and problem solving skills. Computational thinking skills are closely related to the CS concepts and approaches. These skills cover fundamental programming concepts such as task decomposition, abstractions and generalization, data structures and algorithms. On the other hand, CS education challenges, promote the search for new educational tools, methods, activities and resources. Consequently, CS education should be extended by adding the STEM (Science, Technology, Engineering and Mathematics) paradigm principles. The aim of this paper is to show how STEM-driven CS education supports and ensures the development of computational thinking at the high school. We present the already published STEM-driven CS education approach aiming at extending it by introducing a model to assess student achievements, according to the revised Bloom's taxonomy in the connection with CT skills. As a practical implementation, we describe a curriculum of Programming Basics at the high school with respect to STEM-driven aspects and CT skills. We introduce two case studies implemented in the real educational environment. They provide the evidence of availability of our approach.","Faculty of Informatics, KTU, Kaunas, Lithuania; Faculty of Informatics, KTU, Kaunas, Lithuania; Faculty of Informatics, KTU, Kaunas, Lithuania",978-1-5386-2957-4,10.1109/EDUCON.2018.8363456,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363456,IEEE Conferences,IEEE,17,2018 IEEE Global Engineering Education Conference (EDUCON),IEEE Xplore
R. Munoz; R. Villarroel; T. S. Barcelos; F. Riquelme; Á. Quezada; P. Bustos-Valenzuela,Developing Computational Thinking Skills in Adolescents With Autism Spectrum Disorder Through Digital Game Programming,2018,Null,63880,63889,"In the last years, many didactic activities have been proposed to develop Computational Thinking (CT) skills in children and adolescents. Among these activities, the digital game programming stands out as a promising alternative considering that it is related to a familiar and motivating context for students. These initiatives are not specifically aimed at individuals with special needs such as the autism spectrum disorder (ASD). Children and adolescents with ASD usually have some limitations related to communication, cognitive flexibility, and interpersonal relationships. However, it seems natural that the skills potentially developed through game programming activities are especially beneficial for the public with ASD. In this paper, we describe the offering and evaluation of a Game Building Workshop adapted to adolescents with this condition. The guidelines used to define the workshop activities are described. An assessment based on the classroom observation and analysis of produced artifacts indicate that the participants acquired CT skills related to programming at a high level. In addition, the collaborative nature of the activities offered a stimulating and welcoming environment for individuals with ASD.","Universidad de Valparaiso, Valparaiso, CL; Pontificia Universidad Catolica de Valparaiso, Valparaiso, Valparaiso, CL; Laboratório de Computação Aplicada - LABCOM, Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, São Paulo, Brazil; Universidad de Valparaiso, Valparaiso, CL; Universidad Autonoma de Baja California, Mexicali, Baja California, MX; Universidad de Valparaiso, Valparaiso, CL",Null,10.1109/ACCESS.2018.2877417,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502019,IEEE Journals,IEEE,26,IEEE Access,IEEE Xplore
R. Marciano; S. Agarrat; H. Frisch; M. R. Hunt; K. Jain; G. Kocienda; H. Krauss; C. Liu; M. McKinley; D. Mir; C. Mullane; E. Patterson; D. Pradhan; J. Santos; B. Schams; H. S. Y. Shiue; A. J. Silva; M. Suri; T. Turabi; M. Vasselli; J. Xu,Reframing Digital Curation Practices through a Computational Thinking Framework,2019,Null,3126,3135,"We describe the value of reframing digital curation practices through a computational thinking (CT) framework. Using a case study that demonstrates computational treatments of World War II Japanese-American Incarceration Camp Records, we demonstrate the applicability of CT with respect to: (1) Detecting personally identifiable information, (2) Developing name registries, (3) Integrating vital records, (4) Designing controlled vocabularies, (5) Mapping events and people, and (6) Connecting events and people through networks. The work was carried out by 5 teams of students in an 8week digital curation exploration and development sprint.","College of Information Studies, University of Maryland, College Park, USA; Computer Science & Math, University of Maryland College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Science, University of Maryland College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA; Info. Sci & Japanese, University of Maryland College Park, USA; College of Information Studies, University of Maryland, College Park, USA; College of Information Studies, University of Maryland, College Park, USA",978-1-7281-0858-2,10.1109/BigData47090.2019.9006485,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006485,IEEE Conferences,IEEE,5,2019 IEEE International Conference on Big Data (Big Data),IEEE Xplore
R. Delgado; S. Yacchirema; F. Coral; J. Celi,Platform for university teaching applying Computational Thinking at the Armed Forces University ESPE,2019,Null,1,4,"The inclusion of computational thinking in third-level professional training is an alternative that revolutionize traditional teaching through new paradigms, ICT tools and new platforms such as the one proposed in this paper that describes the development and implementation of a prototype that allows incorporating computational thinking into educational constructivist models, exploiting the capacities and abilities of a global and interconnected society. The prototype was submitted to an evaluation by 120 students of Information Technology (IT) faculty of the Armed Forces University ESPE located in Sangolqua, Ecuador, in the fields: performance and acceptance of the user, obtaining acceptable results about its applicability, usability and adaptation to the training model by competencies of the institution. The research methodology Desing Science Research (DSR), SCRUM as a design methodology and AppGini as a development tool were applied.","Departamento de Ciencias de la Computación, Universidad de las Fuerzas Armadas ESPE, Sangolquí, Ecuador; Departamento de Ciencias de la Computación, Universidad de las Fuerzas Armadas ESPE, Sangolquí, Ecuador; Departamento de Ciencias de la Computación, Universidad de las Fuerzas Armadas ESPE, Sangolquí, Ecuador; Departamento de Ciencias de la Computación, Universidad de las Fuerzas Armadas ESPE, Sangolquí, Ecuador",978-9-8998-4349-3,10.23919/CISTI.2019.8760819,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8760819,IEEE Conferences,IEEE,1,2019 14th Iberian Conference on Information Systems and Technologies (CISTI),IEEE Xplore
R. P. Curasma; N. J. Jara; H. P. Curasma; V. C. Ornetta,Assessment of Computational Thinking in regular basic education: case I.E.T.P. “José Obrero”,2019,Null,1,4,"In regular basic education environments, one of the challenges of Computer and Computing courses or similar is to motivate students, who perceive programming as a difficult task. Arduino board is recognized as a tool to improve programming skills and to facilitate teamwork. In this paper, Computational Thinking is evaluated through concepts, practices and computational perspectives of the activities carried out with the Arduino board by the 5th-grade students of secondary education of the “José Obrero” Parochial Technical Educational Institution in the district of San Mateo from the province of Huarochirí of Lima region.","Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor, de San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú; Facultad de Ingeniería, Universidad Nacional Mayor de, San Marcos, Lima, Perú",978-1-7281-3646-2,10.1109/INTERCON.2019.8853613,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8853613,IEEE Conferences,IEEE,0,"2019 IEEE XXVI International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",IEEE Xplore
R. P. Curasma; H. Paucar Curasma,Computational thinking in school education in South America: Systematic review of the literature,2020,Null,1,4,"This article is intended to present a systematic review of the development of computational thinking in the regular basic education of South American countries. For this study, the following topics were investigated: Educational studies and policies, methodologies designed for the teaching of computational thinking, languages, and tools used and the techniques or methods for assessment of computational thinking in the regular basic education.","Fac. Ingeniería Electrónica y Eléctrica, Universidad Nacional Mayor de San Marcos, Lima, Perú; Fac. Ingeniería de Sistemas e Informática, Universidad Nacional Mayor de San Marcos, Lima, Perú",978-1-7281-9377-9,10.1109/INTERCON50315.2020.9220200,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9220200,IEEE Conferences,IEEE,2,"2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",IEEE Xplore
R. P. Curasma; K. O. Villalba-Condori; N. J. Jara; R. Q. Llamoca; J. C. C. Chávez; M. D. P. Ponce-Aranibar,Computational Thinking and Block-Based Programming for Beginning Engineering Students: Systematic Review of the Literature,2021,Null,530,533,"In the article, the authors conduct a systematic review of computational thinking in higher education. For this review, the following research topics were taken into account: computational thinking skills in higher education, programming teaching methods in beginning engineering students, and block-based programming tools in higher education.","Carrera Profesional de Ingeniería Industrial, Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo, Pampas, Perú; Vicerrectorado de Investigación, Universidad Continental, Arequipa, Perú; Escuela Profesional de Ingeniería Electrónica, Universidad Nacional Mayor de San Marcos, Lima, Perú; Carrera Profesional de Econocomía, Universidad de Lima, Lima, Perú; Facultad de Ingeniería Ambiental, Universidad Nacional de Ingeniería, Lima, Perú; Escuela Profesional de Publicidad y Multimedia, Universidad Católica de Santa María, Arequipa, Perú",978-1-6654-2358-8,10.1109/LACLO54177.2021.00096,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725163,IEEE Conferences,IEEE,1,2021 XVI Latin American Conference on Learning Technologies (LACLO),IEEE Xplore
R. Costa; A. C. Neto; C. Araújo; P. R. Henriques,A Framework to Assess Melodic Effectiveness in Training Computational Thinking to Visually Impaired People,2022,Null,1,6,"Computational Thinking education and training are considered crucial activities to achieve success in later challenges like computer programming. To train the brain to think in logical terms it is necessary to use adequate resources. In this paper we address the difficult problem that is assessing efficacy of a given resource to the Computation Thinking development. To discuss that topic we will use the Melodic System which is a physical learning resource capable of constructing melodic sequences in a logical manner to be used by visually impaired people. Melodic was created aiming at training Computational Thinking through music and sounds and its impact in the learning process must be evaluated. This paper presents the tests and results applied to this intent, while also providing a general and summarized presentation of the Melodic System itself.","ALGORITMI Research Centre/LASI, Univ. Minho, Braga, Portugal; Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, Barretos, Brazil; ALGORITMI Research Centre/LASI, Univ. Minho, Braga, Portugal; ALGORITMI Research Centre/LASI, Univ. Minho, Braga, Portugal",978-1-6654-7464-1,10.1109/SIIE56031.2022.9982346,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9982346,IEEE Conferences,IEEE,0,2022 International Symposium on Computers in Education (SIIE),IEEE Xplore
R. Ismail; T. A. Steinbach; C. S. Miller,A Guide Towards a Definition of Computational Thinking in K-12,2022,Null,801,810,"Computational thinking (CT) has been described as a set of valuable skills for tackling complex problems. To foster CT among K-12 students, different initiatives have been introduced by governmental and non-governmental entities, and numerous studies have been carried out by researchers to define and integrate CT into school curriculum. However, previous studies has shown little agreement among researchers, governmental and non-governmental sectors about a unified CT definition. These dissensions have introduced challenges in formulating a definition for CT at the K-12 level. The absence of a unified definition may increase the challenges for teachers to teach and integrate CT into school curriculum. To foster CT among K-12 students, we introduce a definition and framework for CT. We evaluated 39 articles and extracted the most common elements used in the literature to frame CT definition and describe its elements. Several studies have discussed, as well as investigated, the significance of conceptualizing and comprehending the interaction and dependency relationships among computational objects. However, our literature review discovered that little attention has been dedicated to the concept of dependency in the CT body of knowledge. Based on the literature review, we define CT as the thought process used for solving problems, and it encompasses the elements of problem decomposition, abstraction, and algorithmic thinking. We conjecture the CT definition is missing the element of dependency. In the context of CT, we define dependency as the knowledge of comprehending the interrelationships between different sections of a decomposed problem.","College of Computing and Digital Media (CDM), DePaul University, Chicago, USA; College of Computing and Digital Media (CDM), DePaul University, Chicago, USA; College of Computing and Digital Media (CDM), DePaul University, Chicago, USA",978-1-6654-4434-7,10.1109/EDUCON52537.2022.9766703,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9766703,IEEE Conferences,IEEE,0,2022 IEEE Global Engineering Education Conference (EDUCON),IEEE Xplore
R. Niousha; D. Saito; H. Washizaki; Y. Fukazawa,Scratch Project Analysis: Relationship Between Gender and Computational Thinking Skill,2022,Null,567,571,"The computer science industry suffers from a significant gender gap. This situation likely hinders the creation of inclusive and user-friendly systems due to a bias in perspectives. To narrow this gender gap, this study investigates how females program to increase interest in computer sciences. Specifically, 60 open Scratch projects on the web are analyzed to clarify differences in the Computational Thinking scores with respect to gender. The difference in the Computational Thinking score by gender suggests that the gap may be due to the lack of the Synchronization element in female users’ projects. A deeper understanding of how people program based on gender should support creating an effective and inclusive learning environment and allow educators to create programming materials that attract both genders equally into the field.","Faculty of Science and Engineering, Waseda University, Tokyo, Japan; Faculty of Science and Engineering, Waseda University, Tokyo, Japan; Faculty of Science and Engineering, Waseda University, Tokyo, Japan; Faculty of Science and Engineering, Waseda University, Tokyo, Japan",978-1-6654-9117-4,10.1109/TALE54877.2022.00099,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148435,IEEE Conferences,IEEE,1,"2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)",IEEE Xplore
